code,name,scope_group,industry,ent_type,event_count,latest_ann_date,locator_terms
002254,泰和新材,外汇,基础化工,地方国企,4,2026-04-14,"[""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""期货"", ""欧元"", ""美元"", ""远期结售汇""]"
000404,长虹华意,外汇,家用电器,地方国企,4,2026-04-18,"[""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""欧元"", ""港币"", ""美元"", ""远期结售汇""]"
000970,中科三环,外汇,有色金属,央企,4,2026-03-28,"[""场外衍生品"", ""外汇期权"", ""期权"", ""美元"", ""远期结售汇""]"
300852,四会富仕,外汇,电子,民企,4,2026-03-31,"[""其他"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""美元""]"
300856,科思股份,外汇,美容护理,民企,4,2026-04-23,"[""远期结售汇""]"
002649,博彦科技,外汇,计算机,其他,3,2025-12-20,"[""利率互换"", ""外汇掉期"", ""日元"", ""期权"", ""美元"", ""远期结售汇""]"
300268,*ST佳沃,外汇,农林牧渔,其他,2,2026-03-16,"[""其他"", ""利率互换"", ""外汇掉期"", ""外汇期权"", ""期权"", ""美元"", ""远期结售汇""]"
002252,上海莱士,外汇,医药生物,集体,2,2026-03-27,"[""其他"", ""外汇掉期"", ""外汇远期"", ""期权"", ""美元"", ""远期结售汇""]"
300415,伊之密,外汇,机械设备,外资,2,2026-04-17,"[""其他"", ""利率互换"", ""利率掉期"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""外汇远期"", ""期权"", ""美元"", ""货币互换"", ""远期结售汇""]"
300153,科泰电源,外汇,电力设备,外资,2,2026-04-24,"[""其他"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""期权"", ""美元"", ""货币互换"", ""远期结售汇""]"
000031,大悦城,外汇,房地产,央企,4,2026-04-25,"[""利率互换"", ""利率掉期"", ""场外衍生品"", ""外汇远期"", ""期权"", ""港币"", ""美元"", ""货币互换"", ""货币掉期""]"
300913,兆龙互连,外汇,通信,民企,5,2026-04-28,"[""其他"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""期权"", ""欧元"", ""美元"", ""远期结售汇""]"
000065,北方国际,外汇,建筑装饰,央企,4,2026-03-31,"[""其他"", ""利率互换"", ""外汇掉期"", ""外汇远期"", ""期权"", ""美元"", ""货币互换""]"
000415,渤海租赁,外汇,非银金融,其他,4,2026-05-21,"[""其他"", ""利率"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""欧元"", ""汇率"", ""美元"", ""货币"", ""远期结售汇""]"
000507,珠海港,外汇,交通运输,地方国企,4,2025-12-11,"[""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇远期"", ""期权"", ""货币互换""]"
001316,润贝航科,外汇,石油石化,外资,4,2026-03-19,"[""人民币"", ""其他"", ""利率"", ""利率互换"", ""场外衍生品"", ""外汇掉期"", ""外汇期权"", ""有价证券"", ""期权"", ""汇率"", ""美元"", ""货币"", ""货币互换"", ""远期结售汇""]"
301335,天元宠物,外汇,轻工制造,民企,5,2026-04-18,"[""其他"", ""场外衍生品"", ""外汇期权"", ""期权"", ""美元"", ""远期结售汇""]"
000151,中成股份,外汇,商贸零售,央企,4,2026-01-13,"[""欧元"", ""美元"", ""远期结售汇""]"
000524,岭南控股,外汇,社会服务,地方国企,4,2026-03-28,"[""新西兰元"", ""日元"", ""欧元"", ""港币"", ""澳大利亚元"", ""美元"", ""远期结售汇""]"
300043,星辉娱乐,外汇,传媒,外资,4,2026-04-24,"[""外汇掉期"", ""外汇期货"", ""期权"", ""期货"", ""美元"", ""远期结售汇""]"
